ID,Date,Location,Police District,Police Station,Police,News,Journalists' Notes,Task Force Detainees of the Philippines,RiseUp for Life and Rights,Balay Rehabilitation Center,CCT-DRK Research,Redemptorist Social Mission,Funeral Parlor,Bishop of Caloocan,Philippine Human Rights Information Center,Commission on Human Rights,Assailant
614,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
616,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
617,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,1.0,0.0,Police
618,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
619,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,1.0,,1.0,0.0,0.0,Police
620,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
621,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
622,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
625,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
627,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
628,Jan-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,1.0,0.0,0.0,Police
630,Jan-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,0.0,1.0,,1.0,0.0,0.0,Police
658,Mar-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,1,1.0,0.0,,0.0,0.0,0.0,Police
677,Apr-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
682,Apr-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
683,Apr-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,Police
684,Apr-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,1,0.0,0.0,,0.0,0.0,0.0,Police
685,Apr-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,1,0.0,0.0,,0.0,0.0,0.0,Police
688,Apr-2017,Caloocan,NPD,PS-1,1,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
690,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
691,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
692,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
693,May-2017,Caloocan,NPD,PS-1,0,1,0.0,0.0,0.0,0,1.0,0.0,,0.0,0.0,0.0,Police
