ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office,Assailant
349,Aug-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,1,0.0,Unidentified
351,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
352,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,0,0.0,Unidentified
353,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,0.0,Unidentified
354,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,1.0,Unidentified
355,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,0.0,Unidentified
358,Dec-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
359,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
361,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
362,Dec-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
363,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
364,Sep-2016,Quezon City,QCPD,PS 03 Talipapa,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
365,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
369,Sep-2016,Quezon City,QCPD,PS 10 Kamuning,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
372,Sep-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
377,Sep-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
384,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,0.0,Unidentified
385,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
386,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
387,Oct-2016,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
