ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
177,Nov-2016,Manila,MPD,PS-5 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
178,Nov-2016,Manila,MPD,PS-9 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
179,Nov-2016,Manila,MPD,PS-8 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
180,Nov-2016,Manila,MPD,PS-10 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
181,Nov-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
182,Nov-2016,Manila,MPD,PS-1 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
183,Oct-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
184,Oct-2016,Manila,MPD,PS-8 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
185,Oct-2016,Manila,MPD,PS-9 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
186,Oct-2016,Manila,MPD,PS-9 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
187,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
188,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
189,Oct-2016,Manila,MPD,PS-11 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
190,Oct-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,0,1.0,Police
191,Oct-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,1,1.0,Police
192,Oct-2016,Manila,MPD,PS-6 ,1,1,0.0,0.0,0.0,,,0,1.0,Police
193,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
194,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
195,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
196,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
197,Oct-2016,Manila,MPD,PS-1 ,1,1,0.0,0.0,0.0,,,0,0.0,Police
198,Oct-2016,Manila,MPD,PS-8 ,1,0,0.0,0.0,0.0,,,1,0.0,Police
199,Oct-2016,Manila,MPD,PS-7 ,1,1,0.0,0.0,0.0,,,1,0.0,Police
200,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
201,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,0.0,0.0,,,0,0.0,Police
202,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,0.0,0.0,,,1,0.0,Police
203,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
204,Oct-2016,Manila,MPD,PS-9 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
205,Oct-2016,Manila,MPD,PS-9 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
206,Oct-2016,Manila,MPD,PS-9 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
207,Oct-2016,Manila,MPD,PS-9 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
208,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
209,Oct-2016,Manila,MPD,PS-10 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
210,Oct-2016,Manila,MPD,PS-2 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
211,Oct-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
212,Oct-2016,Manila,MPD,PS-7 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
213,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
214,Oct-2016,Manila,MPD,PS-3 ,1,0,0.0,1.0,0.0,,,0,0.0,Police
215,Oct-2016,Manila,MPD,PS-8 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
216,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
217,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
218,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
219,Oct-2016,Manila,MPD,PS-3 ,1,1,0.0,1.0,0.0,,,0,0.0,Police
220,Oct-2016,Manila,MPD,PS-8 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
221,Oct-2016,Manila,MPD,PS-8 ,1,1,0.0,1.0,0.0,,,1,0.0,Police
